State,Date,New Cases,7-Day Moving Avg,New COVID-19 Hospital Admissions,Historic Cases
United States,Oct 18 2021,51249,75571,null,23
United States,Oct 17 2021,46972,77333,6152.57,76
United States,Oct 16 2021,61960,79715,6261.57,825
United States,Oct 15 2021,89307,81406,6367.57,806
United States,Oct 14 2021,94376,83899,6436.29,498
United States,Oct 13 2021,97971,85950,6566.14,732
United States,Oct 12 2021,87167,87471,6688.86,649
United States,Oct 11 2021,63583,89957,6786.14,84
United States,Oct 10 2021,63641,91543,6875.57,161
United States,Oct 9 2021,73797,93118,6952.43,648
United States,Oct 8 2021,106763,94587,7025,544
United States,Oct 7 2021,108728,96051,7142.57,793
United States,Oct 6 2021,108618,97569,7218.71,10536
United States,Oct 5 2021,104575,98656,7302.43,238
United States,Oct 4 2021,74684,100158,7442.43,29
United States,Oct 3 2021,74664,102166,7562.43,207
United States,Oct 2 2021,84082,103351,7693.57,493
United States,Oct 1 2021,117008,105453,7848.57,1428
United States,Sep 30 2021,119356,107296,7997.71,1427
United States,Sep 29 2021,116223,108855,8181.57,1354
United States,Sep 28 2021,115091,110513,8379,1069
United States,Sep 27 2021,88740,112833,8556.14,613
United States,Sep 26 2021,82962,113165,8739.43,239
United States,Sep 25 2021,98795,114174,8931.43,646
United States,Sep 24 2021,129905,116802,9149.86,781
United States,Sep 23 2021,130270,119979,9351.86,1466
United States,Sep 22 2021,127834,124418,9595.71,445
United States,Sep 21 2021,131328,129491,9786.29,624
United States,Sep 20 2021,91066,133647,9980.71,33
United States,Sep 19 2021,90020,136753,10199,87
United States,Sep 18 2021,117191,138885,10384.43,575
United States,Sep 17 2021,152150,142018,10574.14,531
United States,Sep 16 2021,161338,144797,10791.29,540
United States,Sep 15 2021,163347,149088,10985.43,916
United States,Sep 14 2021,160421,151670,11207.14,660
United States,Sep 13 2021,112808,144355,11244.86,164
United States,Sep 12 2021,104943,142317,11352.14,79
United States,Sep 11 2021,139122,143361,11480.71,527
United States,Sep 10 2021,171606,144053,11597.71,349
United States,Sep 9 2021,191372,145855,11622.57,404
United States,Sep 8 2021,181424,144654,11690.57,1347
United States,Sep 7 2021,109214,146196,11767.57,90
United States,Sep 6 2021,98544,156440,11970.86,404
United States,Sep 5 2021,112251,160412,12030,277
United States,Sep 4 2021,143962,160545,12060.57,417
United States,Sep 3 2021,184219,161140,12079.14,388
United States,Sep 2 2021,182964,161055,12185,401
United States,Sep 1 2021,192220,161716,12216.14,323
United States,Aug 31 2021,180920,161532,12166,504
United States,Aug 30 2021,126354,160707,12184.57,83
United States,Aug 29 2021,113179,159842,12212.71,179
United States,Aug 28 2021,148130,160719,12267,361
United States,Aug 27 2021,183620,160182,12294.29,201
United States,Aug 26 2021,187592,157877,12278.86,253
United States,Aug 25 2021,190935,155193,12232.86,257
United States,Aug 24 2021,175141,153278,12249.57,367
United States,Aug 23 2021,120298,151114,12209.86,69
United States,Aug 22 2021,119321,149944,12147.57,70
United States,Aug 21 2021,144371,148370,12015.57,376
United States,Aug 20 2021,167486,147565,11916.29,1934
United States,Aug 19 2021,168799,145046,11818.71,204
